source_path,relative_path,source_chars,extracted_chars,canonical_chars,removed_chars,replacement_count,html_removed_chars,normalization_char_delta,decode_replacement_count,unknown_character_count
data/raw/gretil/2_epic/ramayana/ram_07_u.htm,2_epic/ramayana/ram_07_u.htm,340067,313654,253804,86263,31113,26413,59850,0,0
data/raw/gretil/3_purana/agp_bi_u.htm,3_purana/agp_bi_u.htm,1885609,1716514,1368722,516887,204070,169095,347792,0,0
data/raw/gretil/3_purana/bhagp/bhp_01u.htm,3_purana/bhagp/bhp_01u.htm,122389,111152,83456,38933,8538,11237,27696,0,0
data/raw/gretil/3_purana/bhagp/bhp_02u.htm,3_purana/bhagp/bhp_02u.htm,65712,57715,43007,22705,4389,7997,14708,0,0
data/raw/gretil/3_purana/bhagp/bhp_03u.htm,3_purana/bhagp/bhp_03u.htm,222408,205245,153913,68495,16825,17163,51332,0,0
data/raw/gretil/3_purana/bhagp/bhp_04u.htm,3_purana/bhagp/bhp_04u.htm,223243,206224,155408,67835,17141,17019,50816,0,0
data/raw/gretil/3_purana/bhagp/bhp_05u.htm,3_purana/bhagp/bhp_05u.htm,137135,128906,113255,23880,10799,8229,15651,0,0
data/raw/gretil/3_purana/bhagp/bhp_06u.htm,3_purana/bhagp/bhp_06u.htm,128454,116797,87435,41019,8791,11657,29362,0,0
data/raw/gretil/3_purana/bhagp/bhp_07u.htm,3_purana/bhagp/bhp_07u.htm,116965,105785,78356,38609,7721,11180,27429,0,0
data/raw/gretil/3_purana/bhagp/bhp_08u.htm,3_purana/bhagp/bhp_08u.htm,141634,129170,96590,45044,9389,12464,32580,0,0
data/raw/gretil/3_purana/bhagp/bhp_09u.htm,3_purana/bhagp/bhp_09u.htm,139067,126507,93558,45509,9297,12560,32949,0,0
data/raw/gretil/3_purana/bhagp/bhp_10u.htm,3_purana/bhagp/bhp_10u.htm,610611,570037,425040,185571,46306,40574,144997,0,0
data/raw/gretil/3_purana/bhagp/bhp_11u.htm,3_purana/bhagp/bhp_11u.htm,208007,191536,142940,65067,16185,16471,48596,0,0
data/raw/gretil/3_purana/bhagp/bhp_12u.htm,3_purana/bhagp/bhp_12u.htm,87946,78644,58735,29211,6434,9302,19909,0,0
data/raw/gretil/3_purana/brahmap/brahmppu.htm,3_purana/brahmap/brahmppu.htm,1794706,1665696,1435809,358897,217800,129010,229887,0,0
data/raw/gretil/3_purana/brndp1_u.htm,3_purana/brndp1_u.htm,483277,445856,375188,108089,50415,37421,70668,0,0
data/raw/gretil/3_purana/brndp2_u.htm,3_purana/brndp2_u.htm,742641,687742,578526,164115,76450,54899,109216,0,0
data/raw/gretil/3_purana/brndp3_u.htm,3_purana/brndp3_u.htm,539800,498725,416877,122923,55690,41075,81848,0,0
data/raw/gretil/3_purana/garup1_u.htm,3_purana/garup1_u.htm,1008655,934694,784934,223721,101509,73961,149760,0,0
data/raw/gretil/3_purana/garup2_u.htm,3_purana/garup2_u.htm,383886,353376,298489,85397,41028,30510,54887,0,0
data/raw/gretil/3_purana/garup3_u.htm,3_purana/garup3_u.htm,291105,268869,231651,59454,31014,22236,37218,0,0
data/raw/gretil/3_purana/kurmp1_u.htm,3_purana/kurmp1_u.htm,411365,378497,315765,95600,42206,32868,62732,0,0
data/raw/gretil/3_purana/kurmp2_u.htm,3_purana/kurmp2_u.htm,355978,327226,273285,82693,37396,28752,53941,0,0
data/raw/gretil/3_purana/lip_1_pu.htm,3_purana/lip_1_pu.htm,871012,804823,680095,190917,94583,66189,124728,0,0
data/raw/gretil/3_purana/lip_2__u.htm,3_purana/lip_2__u.htm,303780,277973,235080,68700,30881,25807,42893,0,5
data/raw/gretil/3_purana/mkp1-93u.htm,3_purana/mkp1-93u.htm,596267,545014,459789,136478,61717,51253,85225,0,0
data/raw/gretil/3_purana/mtp176pu.htm,3_purana/mtp176pu.htm,1128427,1044190,881278,247149,118477,84237,162912,0,0
data/raw/gretil/3_purana/nardp1_u.htm,3_purana/nardp1_u.htm,1657486,1543016,1294967,362519,163145,114470,248049,0,0
data/raw/gretil/3_purana/nardp2_u.htm,3_purana/nardp2_u.htm,325707,299400,251950,73757,34666,26307,47450,0,0
data/raw/gretil/3_purana/narsippu.htm,3_purana/narsippu.htm,464963,428104,369908,95055,55268,36859,58196,0,272
