file	token	count
4_rellit/vaisn/ss5_bhku.txt	o	2
4_rellit/vaisn/ss6_priu.txt	o	2
5_poetry/1_natya/bharnatu.txt	o	2
5_poetry/4_narr/hitop_u.txt	o	1
5_poetry/4_narr/sokss_pu.txt	o	3
6_sastra/6_kama/kamasutu.txt	o	1
6_sastra/8_jyot/brhats_u.txt	o	1
1_veda/5_vedang/2_paris/avpari_u.txt	ḥ	10
1_veda/5_vedang/3_pratis/rgvidh_u.txt	ḥ	5
3_purana/bhagp/bhp_03u.txt	ḥ	1
3_purana/vipce_pu.txt	ḥ	2
4_rellit/buddh/bhivin_u.txt	ḥ	5
4_rellit/buddh/srabhu_u.txt	ḥ	1
4_rellit/buddh/vimkn_u.txt	ḥ	18
4_rellit/buddh/vinsutru.txt	ḥ	11
4_rellit/buddh/vinv15_u.txt	ḥ	4
4_rellit/buddh/vinv16_u.txt	ḥ	11
4_rellit/buddh/vinv171u.txt	ḥ	1
4_rellit/buddh/vinv_06u.txt	ḥ	2
5_poetry/5_subhas/msubhs_u.txt	ḥ	6
1_veda/2_bra/gopbra_u.txt	v	16
1_veda/2_bra/kausibru.txt	v	20
1_veda/2_bra/pncvbr1u.txt	v	4
1_veda/2_bra/pncvbr2u.txt	v	4
1_veda/2_bra/satapath/sb_07_u.txt	v	1
1_veda/2_bra/satapath/sb_08_u.txt	v	1
1_veda/4_upa/brup___u.txt	v	3
1_veda/4_upa/chup___u.txt	v	2
1_veda/4_upa/isup___u.txt	v	1
1_veda/5_vedang/1_srauta/asvss_u.txt	v	2
1_veda/5_vedang/1_srauta/sankhssu.txt	v	4
4_rellit/buddh/udanav_u.txt	v	1
4_rellit/buddh/vinsutru.txt	v	1
4_rellit/vaisn/vaimp__u.txt	v	2
5_poetry/4_narr/brkas_pu.txt	v	1
5_poetry/4_narr/sokss_pu.txt	v	1
1_veda/2_bra/satapath/sb_04_u.txt	i	1
1_veda/2_bra/satapath/sb_08_u.txt	i	1
1_veda/5_vedang/1_srauta/sankhssu.txt	i	2
3_purana/agp_bi_u.txt	i	6
3_purana/garup1_u.txt	i	1
4_rellit/buddh/srabhu_u.txt	i	5
4_rellit/buddh/vimkn_u.txt	i	1
4_rellit/buddh/vinv01_u.txt	i	2
4_rellit/buddh/vinv08_u.txt	i	1
4_rellit/buddh/vinv_06u.txt	i	3
4_rellit/saiva/kubjt_pu.txt	i	10
4_rellit/saiva/malinivu.txt	i	1
4_rellit/saiva/sivsutru.txt	i	1
4_rellit/vaisn/hbhvil_u.txt	i	1
4_rellit/vaisn/ss2_bhgu.txt	i	1
4_rellit/vaisn/ss3_paru.txt	i	1
4_rellit/vaisn/vaimp__u.txt	i	1
5_poetry/1_natya/bharnatu.txt	i	2
5_poetry/2_kavya/padnscpu.txt	i	1
5_poetry/4_narr/hitop_u.txt	i	1
1_veda/5_vedang/2_grhya/vargs_u.txt	n	1
2_epic/mbh/mbh_12_u.txt	n	1
3_purana/bhagp/bhp_03u.txt	n	3
3_purana/bhagp/bhp_04u.txt	n	1
3_purana/bhagp/bhp_09u.txt	n	4
4_rellit/buddh/asmahsuu.txt	n	1
4_rellit/buddh/udanav_u.txt	n	1
4_rellit/buddh/vinsutru.txt	n	4
4_rellit/vaisn/hbhvil_u.txt	n	1
4_rellit/vaisn/ss5_bhku.txt	n	1
5_poetry/2_kavya/bhattiku.txt	n	4
5_poetry/5_subhas/msubhs_u.txt	n	14
6_sastra/3_phil/buddh/nrat_1_u.txt	n	1
6_sastra/3_phil/samkhya/isvskaru.txt	n	1
1_veda/5_vedang/1_srauta/asvss_u.txt	ī	1
1_veda/5_vedang/2_paris/avpray_u.txt	ī	1
3_purana/agp_bi_u.txt	ī	2
3_purana/garup1_u.txt	ī	2
3_purana/lip_2__u.txt	ī	1
4_rellit/buddh/vinv_06u.txt	ī	1
4_rellit/saiva/kubjt_pu.txt	ī	13
4_rellit/saiva/malinivu.txt	ī	2
4_rellit/saiva/parakspu.txt	ī	8
4_rellit/saiva/vinst_pu.txt	ī	1
