path,source,layer,chars,lines,compact_chars,duplicate_status,duplicate_of,layer_weight,duplicate_weight,final_weight,effective_chars
data/processed/gretil_devanagari/tei/transformations/html/sa_prajJApAramitAhRdayasUtra.txt,gretil,other,1116,35,980,tei_unchecked_short,,0.700,1.000,0.700,781.2
data/processed/gretil_devanagari/tei/transformations/html/sa_prajJApAramitAhRdayasUtrasaMkSiptamAtRkA.txt,gretil,other,1160,19,1053,tei_unique,,0.700,1.000,0.700,812.0
data/processed/gretil_devanagari/tei/transformations/html/sa_prajJApAramitAhRdayasUtravistaramAtRkA.txt,gretil,other,2213,32,1991,tei_unique,,0.700,1.000,0.700,1549.1
data/processed/gretil_devanagari/tei/transformations/html/sa_prakAzasaMhitA.txt,gretil,other,137114,4926,123694,prefix_in_candidate,4_rellit/vaisn/prakassu.txt,0.700,0.200,0.140,19196.0
data/processed/gretil_devanagari/tei/transformations/html/sa_pramANavArttika.txt,gretil,other,122424,4370,110388,tei_unique,,0.700,1.000,0.700,85696.8
data/processed/gretil_devanagari/tei/transformations/html/sa_prAtimokSasUtra-of-the-lokottaravAdimahAsaGghika.txt,gretil,other,52537,1005,46623,tei_unique,,0.700,1.000,0.700,36775.9
data/processed/gretil_devanagari/tei/transformations/html/sa_prAtimokSasUtra-of-the-mahAsAMghikas.txt,gretil,other,52202,944,46618,tei_unique,,0.700,1.000,0.700,36541.4
data/processed/gretil_devanagari/tei/transformations/html/sa_prAtimokSasUtra-of-the-mUlasarvAstivAdins.txt,gretil,other,46105,749,41648,tei_unique,,0.700,1.000,0.700,32273.5
data/processed/gretil_devanagari/tei/transformations/html/sa_prAtimokSasUtra-of-the-sarvAstivAdins.txt,gretil,other,42890,1035,38436,tei_unique,,0.700,1.000,0.700,30023.0
data/processed/gretil_devanagari/tei/transformations/html/sa_prAtimokSasUtrafragments.txt,gretil,other,13096,208,11854,tei_unique,,0.700,1.000,0.700,9167.2
data/processed/gretil_devanagari/tei/transformations/html/sa_pratisarAkalpadhAraNI.txt,gretil,other,2587,35,2278,tei_unique,,0.700,1.000,0.700,1810.9
data/processed/gretil_devanagari/tei/transformations/html/sa_pratItyasamutpAdAdivibhaGganirdezasUtra.txt,gretil,other,3402,54,3105,tei_unique,,0.700,1.000,0.700,2381.4
data/processed/gretil_devanagari/tei/transformations/html/sa_pratItyasamutpAdamahAyAnasUtra.txt,gretil,other,1486,23,1349,tei_unique,,0.700,1.000,0.700,1040.2
data/processed/gretil_devanagari/tei/transformations/html/sa_pratItyasamutpAdavibhaGgasUtra.txt,gretil,other,3444,73,3115,tei_unique,,0.700,1.000,0.700,2410.8
data/processed/gretil_devanagari/tei/transformations/html/sa_pratyakSalakSaNa-of-the-tarkarahasya.txt,gretil,sastra,13001,491,11824,tei_unique,,1.000,1.000,1.000,13001.0
data/processed/gretil_devanagari/tei/transformations/html/sa_pravAraNAvastu.txt,gretil,other,25021,437,22398,tei_unique,,0.700,1.000,0.700,17514.7
